Type Combination Matrix
Profile: STANDARD_ALL_TYPES

Type1,Type2,BOOL,INT8,UINT8,INT16,UINT16,INT32,UINT32,INT64,UINT64,HALF,BFLOAT16,FLOAT32,DOUBLE,UTF8
INT8,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT8,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT16,BOOL,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,INT8,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,UINT8,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,INT16,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,UINT16,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,INT32,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,UINT32,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,INT64,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,UINT64,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,HALF,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,BFLOAT16,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,FLOAT32,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,DOUBLE,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
INT16,UTF8,✓,✓,✓,✓,,✓,,✓,,✓,✓,✓,✓,✓
UINT16,BOOL,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,INT8,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,UINT8,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,INT16,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,UINT16,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,INT32,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,UINT32,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,INT64,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,UINT64,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,HALF,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,BFLOAT16,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,FLOAT32,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,DOUBLE,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
UINT16,UTF8,✓,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓
INT32,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT32,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT32,BOOL,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,INT8,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,UINT8,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,INT16,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,UINT16,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,INT32,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,UINT32,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,INT64,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,UINT64,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,HALF,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,BFLOAT16,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,FLOAT32,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,DOUBLE,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
UINT32,UTF8,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,✓,✓
INT64,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT64,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UINT64,BOOL,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,INT8,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,UINT8,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,INT16,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,UINT16,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,INT32,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,UINT32,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,INT64,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,UINT64,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,HALF,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,BFLOAT16,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,FLOAT32,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,DOUBLE,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
UINT64,UTF8,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓
HALF,BOOL,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,INT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,UINT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,INT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,UINT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,INT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,UINT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,INT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,UINT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,HALF,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,BFLOAT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,FLOAT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,DOUBLE,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
HALF,UTF8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,BOOL,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,INT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,UINT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,INT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,UINT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,INT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,UINT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,INT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,UINT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,HALF,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,BFLOAT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,FLOAT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,DOUBLE,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
BFLOAT16,UTF8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,BOOL,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,INT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,UINT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,INT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,UINT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,INT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,UINT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,INT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,UINT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,HALF,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,BFLOAT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,FLOAT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,DOUBLE,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
FLOAT32,UTF8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,BOOL,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,INT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,UINT8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,INT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,UINT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,INT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,UINT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,INT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,UINT64,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,HALF,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,BFLOAT16,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,FLOAT32,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,DOUBLE,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
DOUBLE,UTF8,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,✓
UTF8,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UTF8,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
