"date","approval","who"
"2001-03-09","58","gallup"
"2001-03-05","63","gallup"
"2001-02-19","62","gallup"
"2001-02-09","57","gallup"
"2001-02-01","57","gallup"
"2004-02-05","48","newsweek"
"2004-01-29","49","newsweek"
"2004-01-22","50","newsweek"
"2004-01-08","54","newsweek"
"2003-12-18","54","newsweek"
"2003-12-11","51","newsweek"
"2003-11-06","52","newsweek"
"2003-10-23","51","newsweek"
"2003-10-09","51","newsweek"
"2003-09-25","52","newsweek"
"2003-09-18","51","newsweek"
"2003-09-11","52","newsweek"
"2003-08-21","53","newsweek"
"2003-07-24","57","newsweek"
"2003-07-10","55","newsweek"
"2003-05-29","61","newsweek"
"2003-05-01","65","newsweek"
"2003-04-10","71","newsweek"
"2003-03-27","68","newsweek"
"2003-03-13","53","newsweek"
"2003-02-06","61","newsweek"
"2003-01-23","55","newsweek"
"2003-01-16","56","newsweek"
"2002-11-07","60","newsweek"
"2002-10-24","61","newsweek"
"2002-10-10","61","newsweek"
"2002-09-26","65","newsweek"
"2002-09-12","70","newsweek"
"2002-08-28","61","newsweek"
"2002-07-18","65","newsweek"
"2002-07-11","68","newsweek"
"2002-06-27","70","newsweek"
"2002-05-16","73","newsweek"
"2002-04-25","71","newsweek"
"2002-03-21","74","newsweek"
"2002-01-31","83","newsweek"
"2001-12-13","81","newsweek"
"2001-12-06","82","newsweek"
"2001-11-29","85","newsweek"
"2001-11-15","85","newsweek"
"2001-11-08","85","newsweek"
"2001-11-01","85","newsweek"
"2001-10-25","85","newsweek"
"2001-10-18","88","newsweek"
"2001-10-11","88","newsweek"
"2001-10-04","84","newsweek"
"2001-09-27","86","newsweek"
"2001-09-20","86","newsweek"
"2001-09-13","82","newsweek"
"2001-05-10","50","newsweek"
"2001-05-03","57","newsweek"
"2001-04-12","57","newsweek"
"2001-03-15","55","newsweek"
"2001-02-15","56","newsweek"
"2001-02-08","52","newsweek"
"2004-02-05","54","time.cnn"
"2004-01-14","54","time.cnn"
"2003-12-30","54","time.cnn"
"2003-11-18","52","time.cnn"
"2003-09-03","52","time.cnn"
"2003-07-16","55","time.cnn"
"2003-05-21","63","time.cnn"
"2003-03-27","62","time.cnn"
"2003-02-19","54","time.cnn"
"2003-02-06","62","time.cnn"
"2003-01-15","53","time.cnn"
"2002-12-17","55","time.cnn"
"2002-11-13","64","time.cnn"
"2002-10-23","61","time.cnn"
"2002-08-28","65","time.cnn"
"2002-07-10","70","time.cnn"
"2002-06-19","70","time.cnn"
"2002-05-22","72","time.cnn"
"2002-04-10","75","time.cnn"
"2002-03-13","75","time.cnn"
"2002-01-23","77","time.cnn"
"2001-12-19","82","time.cnn"
"2001-11-07","87","time.cnn"
"2001-10-12","89","time.cnn"
"2001-09-27","84","time.cnn"
"2001-09-13","78","time.cnn"
"2001-07-17","55","time.cnn"
"2001-05-23","52","time.cnn"
"2001-03-21","55","time.cnn"
"2001-02-07","52","time.cnn"
"2004-02-01","56","upenn"
"2004-01-26","54","upenn"
"2004-01-21","64","upenn"
"2004-01-16","59","upenn"
"2004-01-01","60","upenn"
"2003-12-16","63","upenn"
"2003-12-01","59","upenn"
"2003-11-16","57","upenn"
"2003-01-01","55","upenn"
"2003-10-07","58","upenn"
"2004-01-15","49","zogby"
"2003-12-15","53","zogby"
"2003-12-04","49","zogby"
"2003-11-03","48","zogby"
"2003-10-15","49","zogby"
"2003-09-22","50","zogby"
"2003-09-03","45","zogby"
"2003-08-16","52","zogby"
"2003-07-16","53","zogby"
"2003-06-06","58","zogby"
"2003-04-08","61","zogby"
"2003-03-24","57","zogby"
"2003-03-14","54","zogby"
"2003-03-05","54","zogby"
"2003-02-19","57","zogby"
"2003-02-06","62","zogby"
"2003-01-24","57","zogby"
"2003-01-04","63","zogby"
"2002-10-26","64","zogby"
"2002-09-25","63","zogby"
"2002-07-19","63","zogby"
"2002-07-12","62","zogby"
"2002-06-17","69","zogby"
"2002-06-07","69","zogby"
"2002-05-28","70","zogby"
"2002-04-19","69","zogby"
"2002-03-25","74","zogby"
"2002-03-01","74","zogby"
"2002-01-29","74","zogby"
"2002-01-21","77","zogby"
"2002-01-14","79","zogby"
"2002-01-07","78","zogby"
"2002-01-02","80","zogby"
"2001-12-17","81","zogby"
"2001-12-10","82","zogby"
"2001-12-03","81","zogby"
"2001-10-23","78","zogby"
"2001-09-14","82","zogby"
"2001-08-28","50","zogby"
"2001-07-26","47","zogby"
"2001-06-24","51","zogby"
"2001-04-23","52","zogby"
"2001-03-27","52","zogby"
"2001-02-27","53","zogby"
"2001-02-09","57","zogby"
